gene  status        value_1        value_2        p_value        q_value	significant
NM_001400  NOTEST        0        0        1        1	no
NR_033424  NOTEST        0        0        1        1	no
NR_024438  NOTEST        0.20461        1.97402        1        1	no
NM_000699  NOTEST        0        0        1        1	no
NM_001008221  NOTEST        0        0        1        1	no
NM_004038  NOTEST        0        0        1        1	no
NM_001008221  NOTEST        0        0        1        1	no
NM_004038  NOTEST        0        0        1        1	no
NM_001113226  NOTEST        0.0667108        0        1        1	no
NM_001113228  NOTEST        0.0667108        0        1        1	no
NM_014917  NOTEST        0.0667108        0        1        1	no
NR_046653  NOTEST        0        0        1        1	no
NM_001143987  NOTEST        0        0        1        1	no
NM_001143988  NOTEST        0        0        1        1	no
NM_001010883  NOTEST        2.01988        1.05975        1        1	no
NR_034168  NOTEST        0        0        1        1	no
NR_049777  NOTEST        0        0        1        1	no
NM_013296  OK        11.5805        10.5292        0.4234        0.447429	no
NM_001278202  OK        5.68856        0.867398        0.13625        0.186223	no
NM_001040709  NOTEST        1.12001        0.638508        1        1	no
NM_031936  NOTEST        0.27797        0.234739        1        1	no
NR_029583  NOTEST        427.707        206.832        1        1	no
NM_001257360  OK        8.61676        8.27506        0.6349        0.654864	no
NM_001257361  OK        8.61676        8.27506        0.6349        0.654864	no
NM_004037  OK        8.61676        8.27506        0.6349        0.654864	no
NM_139156  OK        8.61676        8.27506        0.6349        0.654864	no
NM_203404  OK        8.61676        8.27506        0.6349        0.654864	no
NM_000848  OK        3.42857        1.61294        0.03225        0.0539098	no
NM_001142368  OK        3.42857        1.61294        0.03225        0.0539098	no
NM_000561  NOTEST        0        0        1        1	no
NM_146421  NOTEST        0        0        1        1	no
NM_000851  NOTEST        0        0.51385        1        1	no
NM_000757  NOTEST        1.45989        0.342549        1        1	no
NM_172210  NOTEST        1.45989        0.342549        1        1	no
NM_172211  NOTEST        1.45989        0.342549        1        1	no
NM_172212  NOTEST        1.45989        0.342549        1        1	no
NM_203412  NOTEST        0        0.269308        1        1	no
NM_001010898  NOTEST        1.97047        1.41836        1        1	no
NM_001039574  NOTEST        1.71986        1.06528        1        1	no
NM_004978  NOTEST        1.71986        1.06528        1        1	no
NR_102697  OK        0        6.93795        0.1252        0.17558	no
NM_032414  NOTEST        0        0.676683        1        1	no
NR_003599  NOTEST        0        0        1        1	no
NM_000560  NOTEST        0.133286        0.0644552        1        1	no
NM_001040033  NOTEST        0.133286        0.0644552        1        1	no
NM_001025197  NOTEST        0        0.209878        1        1	no
NM_001025199  NOTEST        0        0.209878        1        1	no
NM_004000  NOTEST        0        0.209878        1        1	no
NR_003928  OK        6.02235        5.06653        0.1965        0.257107	no
NM_001040623  NOTEST        0        0.262356        1        1	no
NM_001258001  NOTEST        0        0.262356        1        1	no
NM_001258002  NOTEST        0        0.262356        1        1	no
NM_001258003  NOTEST        0        0.262356        1        1	no
NM_001258004  NOTEST        0        0.262356        1        1	no
NM_001258005  NOTEST        0        0.262356        1        1	no
NM_021797  NOTEST        0        0.262356        1        1	no
NM_201653  NOTEST        0        0.262356        1        1	no
NM_181643  NOTEST        0        0.0819745        1        1	no
NM_174896  OK        0.255255        5.34952        0.2537        0.27913	no
NM_001010935  OK        17.4793        14.5455        0.18275        0.241086	no
NM_002884  OK        17.4793        14.5455        0.18275        0.241086	no
NR_038951  NOTEST        0.205418        1.94373        1        1	no
NR_038952  NOTEST        0.205418        1.94373        1        1	no
NM_001270945  NOTEST        0        0        1        1	no
NM_001004440  NOTEST        0        0.203897        1        1	no
NM_182759  NOTEST        0        0.203897        1        1	no
